Akkoord,Sex,Nation,Q16,Q17,AggressionPhysical,AggressionVerbal,AggressionAnger,AggressionHostility,Selfmonitoring,ATTACH_TOTAL,id_centrality,id_solidarity,id_satisfaction,id_SelfStereotype,id_IngroupHomogeneity,AggressionTotal
yes,female,Other_country,Blue,Cats,1.888888889,2,1.571428571,3,1.833333333,4.866666667,3.333333333,1.666666667,5.25,4,2.5,2.137931034
yes,male,Other_country,Green,Cats,2.111111111,2.8,2.428571429,3.375,2.666666667,2.933333333,2.333333333,1.666666667,5,4.5,4,2.655172414
yes,male,Germany,Blue,Cats,5.111111111,6,4.285714286,4.625,1.833333333,3.866666667,6,4.666666667,6.25,3.5,2,4.931034483
yes,female,Other_country,Green,Cats,2.666666667,3.8,4.714285714,5.25,1.916666667,4.533333333,5.333333333,4.666666667,7,4,4,4.068965517
yes,female,Germany,Brown,Dogs,3.444444444,4.8,4.571428571,4.75,1.333333333,3.133333333,5.333333333,5.333333333,6,2,4.5,4.310344828
yes,female,Other_country,Brown,Dogs,4.888888889,4,5,3.75,0.25,3.666666667,1.666666667,1.666666667,4.75,2,4,4.448275862
yes,female,Other_country,Brown,Dogs,4.111111111,3.8,4,3,1.833333333,4.733333333,6,6,6.5,6.5,3,3.724137931
yes,male,Other_country,Green,Dogs,2.333333333,4,3.428571429,4.375,1.5,4.333333333,3.666666667,3.333333333,5,3.5,4,3.448275862
yes,male,Other_country,Brown,Dogs,4.555555556,3.6,3.142857143,3.75,1.75,3.733333333,6,4.333333333,5.75,5.5,6.5,3.827586207
yes,female,Germany,Brown,Cats,5.111111111,5.4,5.285714286,5.875,1.833333333,1.933333333,3.666666667,1,4.75,1,2.5,5.413793103
yes,male,Germany,Brown,Dogs,3.222222222,5,1.571428571,3.625,2.083333333,3.266666667,2.666666667,1,1.25,1.5,1,3.24137931
yes,female,Germany,Brown,Dogs,3.222222222,4.6,4.857142857,1.875,1.25,5.466666667,2.666666667,6.666666667,6.5,3,1.5,3.482758621
yes,female,Germany,Green,Dogs,2.111111111,3.2,2.571428571,3.875,1.75,3,3.333333333,3.666666667,5,4,2,2.896551724
yes,female,Netherlands,Brown,Cats,4.888888889,4.8,3.428571429,4.875,2,3.666666667,6,3.333333333,6,2.5,5,4.517241379
yes,female,Germany,Blue,Cats,2.111111111,5.2,3.857142857,5.625,2.5,2.333333333,4,3.333333333,5.25,4.5,4,4.034482759
yes,female,Other_country,Brown,Cats,2.666666667,4.4,2.285714286,3.125,1.75,4.2,5,6.666666667,6.75,6,5,3
yes,male,Germany,Green,Dogs,1.333333333,3,2.285714286,2.375,0.916666667,5.066666667,2.333333333,4.666666667,4.75,4,3,2.137931034
yes,female,Other_country,Brown,Dogs,3.333333333,4.4,4.285714286,5,1.916666667,4.733333333,4.333333333,6,5.25,6,6,4.206896552
